source,target
SFP,USDT
GBP,DOGE
TRY,DOT
BTC,FXS
FXS,BUSD
DODO,BTC
DODO,BUSD
DODO,USDT
BTC,FRONT
CAKE,BTC
CAKE,USDT
BUSD,BAKE
UFT,ETH
BUSD,UFT
1INCH,BUSD
BUSD,BAND
BUSD,GRT
IOST,BUSD
BUSD,OMG
BUSD,REEF
BTC,ACM
BUSD,ACM
USDT,ACM
AUCTION,BTC
AUCTION,BUSD
BTC,PHA
BUSD,PHA
GBP,DOT
TRY,ADA
BRL,ADA
GBP,ADA
BTC,TVK
TVK,BUSD
BTC,BADGER
BUSD,BADGER
USDT,BADGER
BTC,FIS
BUSD,FIS
USDT,FIS
DOT,BRL
AUD,ADA
TRY,HOT
EGLD,EUR
OM,BTC
OM,BUSD
OM,USDT
POND,BTC
POND,BUSD
POND,USDT
BTC,DEGO
BUSD,DEGO
USDT,DEGO
EUR,AVAX
BTT,TRY
CHZ,BRL
EUR,UNI
BTC,ALICE
BUSD,ALICE
USDT,ALICE
CHZ,BUSD
CHZ,EUR
GBP,CHZ
BIFI,BNB
BIFI,BUSD
BTC,LINA
BUSD,LINA
USDT,LINA
RUB,ADA
ENJ,BRL
ENJ,EUR
EUR,MATIC
TRY,NEO
PERP,BTC
PERP,BUSD
PERP,USDT
BTC,RAMP
BUSD,RAMP
USDT,RAMP
BTC,SUPER
BUSD,SUPER
USDT,SUPER
CFX,BTC
CFX,BUSD
CFX,USDT
ENJ,GBP
TRY,EOS
LTC,GBP
LUNA,EUR
RVN,TRY
THETA,EUR
XVG,BUSD
BTC,EPS
BUSD,EPS
USDT,EPS
AUTO,BTC
AUTO,BUSD
AUTO,USDT
BTC,TKO
BIDR,TKO
BUSD,TKO
USDT,TKO
ETH,PUNDIX
USDT,PUNDIX
BTT,BRL
BTT,EUR
HOT,EUR
WIN,EUR
TLM,BTC
TLM,BUSD
TLM,USDT
BUSD,BTG
USDT,BTG
HOT,BUSD
UAH,BNB
TRY,ONT
VET,EUR
GBP,VET
WIN,BRL
MIR,BTC
MIR,BUSD
MIR,USDT
BAR,BTC
BAR,BUSD
BAR,USDT
BTC,FORTH
BUSD,FORTH
USDT,FORTH
GBP,CAKE
RUB,DOGE
HOT,BRL
EUR,WRX
USDT,BAKE
BURGER,BUSD
BURGER,USDT
BUSD,SLP
USDT,SLP
TRX,AUD
TRX,EUR
VET,TRY
SHIB,USDT
SHIB,BUSD
BTC,ICP
ICP,BNB
BUSD,ICP
USDT,ICP
SHIB,EUR
SHIB,RUB
EUR,ETC
ETC,BRL
BIDR,DOGE
BTC,AR
AR,BNB
BUSD,AR
USDT,AR
POLS,BTC
POLS,BNB
POLS,BUSD
POLS,USDT
BTC,MDX
MDX,BNB
MDX,BUSD
MDX,USDT
BNB,MASK
BUSD,MASK
USDT,MASK
BTC,LPT
BNB,LPT
BUSD,LPT
USDT,LPT
ETH,UAH
MATIC,BRL
EUR,SOL
SHIB,BRL
AGIX,BTC
ICP,EUR
GBP,MATIC
SHIB,TRY
BIDR,MATIC
RUB,MATIC
BTC,NU
NU,BNB
BUSD,NU
USDT,NU
XVG,USDT
BUSD,RLC
BUSD,CELR
ATM,BUSD
BUSD,ZEN
BUSD,FTM
THETA,BUSD
WIN,BUSD
KAVA,BUSD
BUSD,XEM
BTC,ATA
BNB,ATA
BUSD,ATA
USDT,ATA
BTC,GTC
BNB,GTC
BUSD,GTC
USDT,GTC
BTC,TORN
TORN,BNB
BUSD,TORN
USDT,TORN
TRY,MATIC
GBP,ETC
GBP,SOL
BTC,BAKE
BUSD,COTI
BTC,KEEP
BNB,KEEP
BUSD,KEEP
USDT,KEEP
TRY,SOL
GBP,RUNE
BRL,SOL
BUSD,SC
BUSD,CHR
BUSD,STMX
HNT,BUSD
FTT,BUSD
BUSD,DOCK
BIDR,ADA
ERN,BNB
ERN,BUSD
USDT,ERN
BTC,KLAY
BNB,KLAY
BUSD,KLAY
USDT,KLAY
RUNE,EUR
AUD,MATIC
RUB,DOT
UTK,BUSD
IOTX,BUSD
USDT,PHA
RUB,SOL
RUNE,AUD
BUSD,UAH
BTC,BOND
BNB,BOND
BUSD,BOND
USDT,BOND
BTC,MLN
MLN,BNB
BUSD,MLN
USDT,MLN
TRY,GRT
CAKE,BRL
RUB,ICP
AUD,DOT
AAVE,BRL
EOS,AUD
DEXE,USDT
LTO,BUSD
BUSD,ADX
BTC,QUICK
QUICK,BNB
BUSD,QUICK
USDT,C98
BUSD,C98
C98,BNB
BTC,C98
CLV,BTC
CLV,BNB
CLV,BUSD
CLV,USDT
QNT,BTC
QNT,BNB
QNT,BUSD
QNT,USDT
BTC,FLOW
BNB,FLOW
BUSD,FLOW
USDT,FLOW
XEC,BUSD
AXS,BRL
AXS,AUD
USDT,TVK
BTC,MINA
MINA,BNB
BUSD,MINA
USDT,MINA
RAY,BNB
RAY,BUSD
RAY,USDT
BTC,FARM
BNB,FARM
BUSD,FARM
USDT,FARM
ALPACA,BTC
ALPACA,BNB
ALPACA,BUSD
ALPACA,USDT
TLM,TRY
USDT,QUICK
BUSD,ORN
BTC,MBOX
BNB,MBOX
BUSD,MBOX
USDT,MBOX
BTC,VGX
ETH,VGX
FOR,USDT
USDT,REQ
GHST,USDT
RUB,TRU
FIS,BRL
USDT,WAXP
BUSD,WAXP
BNB,WAXP
BTC,WAXP
BTC,TRIBE
BNB,TRIBE
BUSD,TRIBE
USDT,TRIBE
GNO,USDT
GNO,BUSD
GNO,BNB
GNO,BTC
TRY,ARPA
BTC,PROM
MTL,BUSD
BUSD,OGN
XEC,USDT
C98,BRL
AUD,SOL
BIDR,XRP
BUSD,POLY
USDT,ELF
DYDX,USDT
DYDX,BUSD
DYDX,BNB
DYDX,BTC
BUSD,ELF
USDT,POLY
USDT,IDEX
USDT,VIDT
BIDR,SOL
BTC,USDP
ETH,USDP
USDP,BNB
BUSD,USDP
USDT,USDP
USDT,GALA
BUSD,GALA
GALA,BNB
BTC,GALA
BIDR,FTM
BIDR,ALGO
CAKE,AUD
AUD,KSM
RUB,WAVES
SUN,BUSD
USDT,ILV
BUSD,ILV
BNB,ILV
BTC,ILV
REN,BUSD
YGG,USDT
YGG,BUSD
YGG,BNB
YGG,BTC
STX,BUSD
USDT,SYS
DF,USDT
USDC,SOL
ARPA,RUB
LTC,UAH
FET,BUSD
ARPA,BUSD
LSK,BUSD
BIDR,AVAX
BIDR,ALICE
FIDA,USDT
FIDA,BUSD
FIDA,BNB
FIDA,BTC
DENT,BUSD
USDT,FRONT
USDT,CVP
BTC,AGLD
AGLD,BNB
BUSD,AGLD
USDT,AGLD
BTC,RAD
BNB,RAD
BUSD,RAD
USDT,RAD
AUD,UNI
HIVE,BUSD
STPT,BUSD
BETA,BTC
BETA,BNB
BETA,BUSD
BETA,USDT
SHIB,AUD
RARE,BTC
RARE,BNB
RARE,BUSD
RARE,USDT
AVAX,BRL
AUD,AVAX
LUNA,AUD
TROY,BUSD
AXS,ETH
ETH,FTM
ETH,SOL
BTC,SSV
ETH,SSV
TRY,LAZIO
LAZIO,EUR
LAZIO,BTC
LAZIO,USDT
CHESS,BTC
CHESS,BNB
CHESS,BUSD
CHESS,USDT
FTM,AUD
FTM,BRL
BUSD,SCRT
USDT,ADX
AUCTION,USDT
BUSD,CELO
RUB,FTM
AUD,NU
RUB,NU
TRY,REEF
BIDR,REEF
SHIB,DOGE
DAR,USDT
DAR,BUSD
DAR,BNB
DAR,BTC
BNX,BTC
BNX,BNB
BNX,BUSD
BNX,USDT
USDT,RGT
BTC,RGT
BUSD,RGT
RGT,BNB
LAZIO,BUSD
BUSD,OXT
TRY,MANA
RUB,ALGO
SHIB,UAH
BIDR,LUNA
AUD,USDC
MOVR,BTC
MOVR,BNB
MOVR,BUSD
MOVR,USDT
BTC,CITY
CITY,BNB
CITY,BUSD
USDT,CITY
BTC,ENS
ENS,BNB
BUSD,ENS
USDT,ENS
ETH,SAND
ETH,DOT
ETH,MATIC
ANKR,BUSD
TRY,SAND
MANA,BRL
KP3R,USDT
USDT,QI
QI,BUSD
QI,BNB
BTC,QI
BTC,PORTO
USDT,PORTO
TRY,PORTO
PORTO,EUR
USDT,POWR
BUSD,POWR
ETH,AVAX
TRY,SLP
TRY,FIS
TRY,LRC
ETH,CHR
BIDR,FIS
USDT,VGX
ETH,GALA
USDT,JASMY
BUSD,JASMY
BNB,JASMY
BTC,JASMY
BTC,AMP
AMP,BNB
AMP,BUSD
USDT,AMP
BTC,PLA
PLA,BNB
BUSD,PLA
USDT,PLA
PYR,BTC
PYR,BUSD
PYR,USDT
RNDR,BTC
RNDR,USDT
RNDR,BUSD
ALCX,BTC
ALCX,BUSD
ALCX,USDT
BTC,SANTOS
USDT,SANTOS
SANTOS,BRL
TRY,SANTOS
BTC,MC
BUSD,MC
USDT,MC
TRY,BEL
BUSD,COCOS
TRY,DENT
